camaras	id	mes_dia	procedimiento	estado	acuerdo	desacuerdo	ano	comisiones
Cámara de Representantes	10856	Sep 03	Aprobación de la proposición modificativa del artículo 2 presentada por los representantes Armando Zabaraín, Eduardo Diazgranados, Clara Rojas y Edward Rodríguez del Proyecto de Ley 176 de 2013 Cámara, 105 ...	aprobado	99%	1%	2014	
Cámara de Representantes	10855	Aug 19	Aprobación del impedimento presentado por los representantes Martha Curí, Mauricio Salazar, María Zuluaga, Cristian Moreno, Julio Gallardo, Santiago Valencia, y Eduardo Tous para participar en la votación de la elección ...	no-aprobado	47%	53%	2014	
Cámara de Representantes	10857	Aug 19	Aprobación del impedimento presentado por los representantes Liliana Benavides, Neftalí Correa, Kelyn Johana González, Argenis Velásquez, Norvey Marulanda, Eduardo José Tous, Alfredo Ape Cuello, Martha Villalba, Jair Arango, Nilton Córdoba, ...	no-aprobado	49%	51%	2014	
Cámara de Representantes	10858	Aug 19	Aprobación del impedimento presentado por los representantes Ciro Fernández, Miguel Ángel Barreto, Rodrigo Lara, Sara Piedrahíta, León Ramírez para la participación en la elección del Contralor General de la Nación.	no-aprobado	34%	66%	2014	
Cámara de Representantes	10859	Aug 19	Aprobación del impedimento presentado por los representantes Yahir Acuña, Candelaria Rojas, Ana María Rincón para participar en la elección del Contralor General de la Nación.	no-aprobado	34%	66%	2014	
Senado	10860	Aug 19	Aprobación del impedimento presentado por los senadores Alfredo Ramos Maya, Thania Ruby Vega de Plazas, Antonio Guerra de la Espriella, Bernardo Miguel Elías Vidal María del Rosario Guerra de la ...	no-aprobado	36%	64%	2014	
Senado	10861	Aug 19	Aprobación del impedimento presentado por los senadores Álvaro Uribe Vélez, Honorio Henríquez Pinedo, Manuel Enríquez Rosero y Jorge Iván Ospina para la participación en la elección del Contralor General de ...	aprobado	65%	35%	2014	
Cámara de Representantes	10853	Aug 12	Aprobación en bloque del articulado del Proyecto de Ley número 168 de 2013 Cámara	aprobado	90%	10%	2014	
Cámara de Representantes	10854	Aug 12	Aprobación del título y que se convierta en ley el Proyecto número 168 de 2013 Cámara.	aprobado	90%	10%	2014	
Cámara de Representantes	10849	Aug 06	Aprobación de la modificación al Orden del día propuesta por el representante Germán Navas Talero	no-aprobado	34%	66%	2014	
Cámara de Representantes	10851	Aug 06	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de Ley número 168 de 2013 Cámara.	aprobado	92%	8%	2014	
Cámara de Representantes	10846	Aug 05	Aprobación de la modificación al Orden del día propuesta por los representantes Óscar Hurtado y Telésforo Pedraza	no-aprobado	45%	55%	2014	
Cámara de Representantes	10847	Aug 05	Aprobación del impedimento presentado por los representantes Santiago Valencia y Alfredo Deluque para participar en la discusión y votación del Proyecto de Ley número 070 de 2013 Cámara.	no-aprobado	39%	61%	2014	
Cámara de Representantes	10848	Aug 05	Aprobación del impedimento presentado por la representante Sara Piedrahita para participar en la discusión y votación del Proyecto de Ley número 125 de 2013 Cámara	aprobado	61%	39%	2014	
Cámara de Representantes	10850	Aug 05	Aprobación en bloque del articulado del Proyecto de Ley número 125 de 2013 Cámara, junto con la proposición modificativa al artículo 2, suscrita por el representante Telésforo Pedraza	aprobado	87%	13%	2014	
Cámara de Representantes	10852	Aug 05	Aprobación del impedimento presentado por la representante Sara Elena Piedrahita para participar en la discusión y votación del Proyecto de Ley número 122 de 2013 Cámara.	aprobado	73%	27%	2014	
Senado	10843	Jul 30	Aprobación del impedimento presentado por el senador Eduardo Enrique Pulgar Daza para participar en la discusión y votación del Proyecto de Ley número 174 de 2014 Senado.	no-aprobado	4%	96%	2014	
Senado	10844	Jul 30	Aprobación del informe de conciliación del Proyecto de Ley 174 de 2014 Senado, 201 de 2014 de Cámara.	aprobado	96%	4%	2014	
Cámara de Representantes	10840	Jul 29	Aprobación de la modificación al Orden del día presentada por el representante Fabio Alonso Arroyave Botero.	no-aprobado	37%	63%	2014	
Cámara de Representantes	10841	Jul 29	Aprobación de la modificación al Orden del día propuesta por los representantes Humphrey Roa y Orlando Guerra por el Proyecto de ley 186 de 2014 de Cámara.	aprobado	89%	11%	2014	
Cámara de Representantes	10842	Jul 29	Aprobación de la modificación al Orden del día propuesto por la representante Margarita María Restrepo.	no-aprobado	28%	72%	2014	
Senado	10845	Jul 29	Aprobación de la modificación al Orden del día propuesta por el senador Iván Cepeda.	no-aprobado	40%	60%	2014	
Cámara de Representantes	10807	Jun 19	Aprobación del impedimento presentado por el representante Germán Navas Talero para participar en la discusión y votación del Proyecto de ley número 300 de 2013 Cámara, 226 de 2013 Senado.	no-quorum	76%	24%	2014	
Cámara de Representantes	10801	Jun 18	Aprobación del informe de objeciones presentadas por el Ejecutivo al Proyecto de ley 226 de 2012 Cámara, 046 de 2011 Senado.	aprobado	100%	0%	2014	
Cámara de Representantes	10802	Jun 18	Aprobación del informe de objeciones presentadas por el Ejecutivo al Proyecto de ley número 008 de 2012 Cámara, 193 de 2012 Senado.	aprobado	98%	2%	2014	
Cámara de Representantes	10803	Jun 18	Aprobación del informe de objeciones presetadas por el Ejecutivo al Proyecto de ley número 331 de 2013 Cámara, 143 de 2012 Senado.	aprobado	100%	0%	2014	
Cámara de Representantes	10804	Jun 18	Aprobación de la proposicón positiva con que termina el informe de ponencia del Proyecto de ley número 144 de 2013 Cámara.	no-quorum	92%	8%	2014	
	10830	Jun 18	Aprobación de la proposición suscrita por el representante Germán Varón Cotrino por medio de la cual pasa a ser el primer punto del Orden del día el Proyecto del Ley ...	aprobado	100%	0%	2014	Comisión Primera de Cámara de Representantes
